Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
,2024,All,All,"Business, administration and law",2875
National College of Art and Design,2024,All,All,"Business, administration and law",0
,2024,All,All,"Business, administration and law",0
National College of Ireland,2024,All,All,"Business, administration and law",2720
,2024,All,All,"Business, administration and law",2720
Royal College of Surgeons,2024,All,All,"Business, administration and law",0
,2024,All,All,"Business, administration and law",0
SETU Carlow,2024,All,All,"Business, administration and law",1460
SETU Waterford,2024,All,All,"Business, administration and law",2265
,2024,All,All,"Business, administration and law",3725
"St. Angelas College of Home Economics, Sligo",2024,All,All,"Business, administration and law",0
,2024,All,All,"Business, administration and law",0
TU Dublin Blanchardstown,2024,All,All,"Business, administration and law",620
TU Dublin City,2024,All,All,"Business, administration and law",3980
TU Dublin Tallaght,2024,All,All,"Business, administration and law",1425
,2024,All,All,"Business, administration and law",6020
TUS Athlone,2024,All,All,"Business, administration and law",1260
TUS Limerick,2024,All,All,"Business, administration and law",1235
,2024,All,All,"Business, administration and law",2495
Trinity College Dublin,2024,All,All,"Business, administration and law",2720
,2024,All,All,"Business, administration and law",2720
University College Cork,2024,All,All,"Business, administration and law",3930
,2024,All,All,"Business, administration and law",3930
University College Dublin,2024,All,All,"Business, administration and law",6340
,2024,All,All,"Business, administration and law",6340
University of Galway,2024,All,All,"Business, administration and law",3880
,2024,All,All,"Business, administration and law",3880
University of Limerick,2024,All,All,"Business, administration and law",4270
,2024,All,All,"Business, administration and law",4270
TOTAL,2024,All,All,"Business, administration and law",58240
ATU Donegal,2024,All,All,Education,70
ATU Galway-Mayo,2024,All,All,Education,455
ATU Sligo,2024,All,All,Education,35
,2024,All,All,Education,565
Dublin City University,2024,All,All,Education,4290
,2024,All,All,Education,4290
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Education,0
,2024,All,All,Education,0
Dundalk IT,2024,All,All,Education,40
,2024,All,All,Education,40
"Mary Immaculate College, Limerick",2024,All,All,Education,3765
,2024,All,All,Education,3765
Maynooth University,2024,All,All,Education,1510
,2024,All,All,Education,1510
MTU Cork,2024,All,All,Education,255
MTU Kerry,2024,All,All,Education,0
,2024,All,All,Education,255
National College of Art and Design,2024,All,All,Education,155
,2024,All,All,Education,155
National College of Ireland,2024,All,All,Education,235
,2024,All,All,Education,235
Royal College of Surgeons,2024,All,All,Education,0
,2024,All,All,Education,0
SETU Carlow,2024,All,All,Education,140
SETU Waterford,2024,All,All,Education,160
,2024,All,All,Education,300
"St. Angelas College of Home Economics, Sligo",2024,All,All,Education,855
,2024,All,All,Education,855
TU Dublin Blanchardstown,2024,All,All,Education,0
TU Dublin City,2024,All,All,Education,190
TU Dublin Tallaght,2024,All,All,Education,155
,2024,All,All,Education,345
TUS Athlone,2024,All,All,Education,140
TUS Limerick,2024,All,All,Education,145
,2024,All,All,Education,285
Trinity College Dublin,2024,All,All,Education,490
,2024,All,All,Education,490
University College Cork,2024,All,All,Education,910
,2024,All,All,Education,910
University College Dublin,2024,All,All,Education,2125
,2024,All,All,Education,2125
